Margin(data: [.#.##..#.#], img[2411], T[0,0], d[N])
Margin(data: [.#..##.#.#], img[3719], T[1,0], d[W])
Margin(data: [#.#.##..#.], img[3719], T[1,90], d[N])
Margin(data: [.#.#.#...#], img[3719], T[1,90], d[E])
Margin(data: [##.#...#.#], img[3719], T[1,90], d[S])
Margin(data: [#....#.#.#], img[3719], T[1,90], d[W])
Margin(data: [#.#.#....#], img[3719], T[1,180], d[N])
Margin(data: [#.#.##..#.], img[3719], T[1,180], d[E])
Margin(data: [#...#.#.#.], img[3719], T[1,180], d[S])
Margin(data: [##.#...#.#], img[3719], T[1,180], d[W])
Margin(data: [#.#...#.##], img[3719], T[1,270], d[N])
Margin(data: [#.#.#....#], img[3719], T[1,270], d[E])
Margin(data: [.#..##.#.#], img[3719], T[1,270], d[S])
Margin(data: [#...#.#.#.], img[3719], T[1,270], d[W])
Margin(data: [####.#####], img[1409], T[0,0], d[N])
Margin(data: [#......#.#], img[1409], T[0,0], d[E])
Margin(data: [..####...#], img[1409], T[0,0], d[S])
Margin(data: [########..], img[1409], T[0,0], d[W])
Margin(data: [..########], img[1409], T[0,90], d[N])
Margin(data: [####.#####], img[1409], T[0,90], d[E])
Margin(data: [#.#......#], img[1409], T[0,90], d[S])
Margin(data: [..####...#], img[1409], T[0,90], d[W])
Margin(data: [#...####..], img[1409], T[0,180], d[N])
Margin(data: [..########], img[1409], T[0,180], d[E])
Margin(data: [#####.####], img[1409], T[0,180], d[S])
Margin(data: [#.#......#], img[1409], T[0,180], d[W])
Margin(data: [#......#.#], img[1409], T[0,270], d[N])
Margin(data: [#...####..], img[1409], T[0,270], d[E])
Margin(data: [########..], img[1409], T[0,270], d[S])
Margin(data: [#####.####], img[1409], T[0,270], d[W])
Margin(data: [#####.####], img[1409], T[1,0], d[N])
Margin(data: [########..], img[1409], T[1,0], d[E])
Margin(data: [#...####..], img[1409], T[1,0], d[S])
Margin(data: [#......#.#], img[1409], T[1,0], d[W])
Margin(data: [#.#......#], img[1409], T[1,90], d[N])
Margin(data: [#####.####], img[1409], T[1,90], d[E])
Margin(data: [..########], img[1409], T[1,90], d[S])
Margin(data: [#...####..], img[1409], T[1,90], d[W])
Margin(data: [..####...#], img[1409], T[1,180], d[N])
Margin(data: [#.#......#], img[1409], T[1,180], d[E])
Margin(data: [####.#####], img[1409], T[1,180], d[S])
Margin(data: [..########], img[1409], T[1,180], d[W])
Margin(data: [########..], img[1409], T[1,270], d[N])
Margin(data: [..####...#], img[1409], T[1,270], d[E])
Margin(data: [#......#.#], img[1409], T[1,270], d[S])
Margin(data: [####.#####], img[1409], T[1,270], d[W])
Margin(data: [.#########], img[3547], T[0,0], d[N])
Margin(data: [#..#..#.#.], img[3547], T[0,0], d[E])
Margin(data: [###.##.##.], img[3547], T[0,0], d[S])
Margin(data: [...#####.#], img[3547], T[0,0], d[W])
Margin(data: [#.#####...], img[3547], T[0,90], d[N])
Margin(data: [.#########], img[3547], T[0,90], d[E])
Margin(data: [.#.#..#..#], img[3547], T[0,90], d[S])
Margin(data: [###.##.##.], img[3547], T[0,90], d[W])
Margin(data: [.##.##.###], img[3547], T[0,180], d[N])
Margin(data: [#.#####...], img[3547], T[0,180], d[E])
Margin(data: [#########.], img[3547], T[0,180], d[S])
Margin(data: [.#.#..#..#], img[3547], T[0,180], d[W])
Margin(data: [#..#..#.#.], img[3547], T[0,270], d[N])
Margin(data: [.##.##.###], img[3547], T[0,270], d[E])
Margin(data: [...#####.#], img[3547], T[0,270], d[S])
Margin(data: [#########.], img[3547], T[0,270], d[W])
Margin(data: [#########.], img[3547], T[1,0], d[N])
Margin(data: [...#####.#], img[3547], T[1,0], d[E])
Margin(data: [.##.##.###], img[3547], T[1,0], d[S])
Margin(data: [#..#..#.#.], img[3547], T[1,0], d[W])
Margin(data: [.#.#..#..#], img[3547], T[1,90], d[N])
Margin(data: [#########.], img[3547], T[1,90], d[E])
Margin(data: [#.#####...], img[3547], T[1,90], d[S])
Margin(data: [.##.##.###], img[3547], T[1,90], d[W])
Margin(data: [###.##.##.], img[3547], T[1,180], d[N])
Margin(data: [.#.#..#..#], img[3547], T[1,180], d[E])
Margin(data: [.#########], img[3547], T[1,180], d[S])
Margin(data: [#.#####...], img[3547], T[1,180], d[W])
Margin(data: [...#####.#], img[3547], T[1,270], d[N])
Margin(data: [###.##.##.], img[3547], T[1,270], d[E])
Margin(data: [#..#..#.#.], img[3547], T[1,270], d[S])
Margin(data: [.#########], img[3547], T[1,270], d[W])
Margin(data: [...##....#], img[1123], T[0,0], d[N])
Margin(data: [###..####.], img[1123], T[0,0], d[E])
Margin(data: [####.#....], img[1123], T[0,0], d[S])
Margin(data: [..#.###.##], img[1123], T[0,0], d[W])
Margin(data: [##.###.#..], img[1123], T[0,90], d[N])
Margin(data: [...##....#], img[1123], T[0,90], d[E])
Margin(data: [.####..###], img[1123], T[0,90], d[S])
Margin(data: [####.#....], img[1123], T[0,90], d[W])
Margin(data: [....#.####], img[1123], T[0,180], d[N])
Margin(data: [##.###.#..], img[1123], T[0,180], d[E])
Margin(data: [#....##...], img[1123], T[0,180], d[S])
Margin(data: [.####..###], img[1123], T[0,180], d[W])
Margin(data: [###..####.], img[1123], T[0,270], d[N])
Margin(data: [....#.####], img[1123], T[0,270], d[E])
Margin(data: [..#.###.##], img[1123], T[0,270], d[S])
Margin(data: [#....##...], img[1123], T[0,270], d[W])
Margin(data: [#....##...], img[1123], T[1,0], d[N])
Margin(data: [..#.###.##], img[1123], T[1,0], d[E])
Margin(data: [....#.####], img[1123], T[1,0], d[S])
Margin(data: [###..####.], img[1123], T[1,0], d[W])
Margin(data: [.####..###], img[1123], T[1,90], d[N])
Margin(data: [#....##...], img[1123], T[1,90], d[E])
Margin(data: [##.###.#..], img[1123], T[1,90], d[S])
Margin(data: [....#.####], img[1123], T[1,90], d[W])
Margin(data: [####.#....], img[1123], T[1,180], d[N])
Margin(data: [.####..###], img[1123], T[1,180], d[E])
Margin(data: [...##....#], img[1123], T[1,180], d[S])
Margin(data: [##.###.#..], img[1123], T[1,180], d[W])
Margin(data: [..#.###.##], img[1123], T[1,270], d[N])
Margin(data: [####.#....], img[1123], T[1,270], d[E])
Margin(data: [###..####.], img[1123], T[1,270], d[S])
Margin(data: [...##....#], img[1123], T[1,270], d[W])
Margin(data: [.####.#..#], img[2203], T[0,0], d[N])
Margin(data: [#.#.####.#], img[2203], T[0,0], d[E])
Margin(data: [.##..##.##], img[2203], T[0,0], d[S])
Margin(data: [.###...##.], img[2203], T[0,0], d[W])
Margin(data: [.##...###.], img[2203], T[0,90], d[N])
Margin(data: [.####.#..#], img[2203], T[0,90], d[E])
Margin(data: [#.####.#.#], img[2203], T[0,90], d[S])
Margin(data: [.##..##.##], img[2203], T[0,90], d[W])
Margin(data: [##.##..##.], img[2203], T[0,180], d[N])
Margin(data: [.##...###.], img[2203], T[0,180], d[E])
Margin(data: [#..#.####.], img[2203], T[0,180], d[S])
Margin(data: [#.####.#.#], img[2203], T[0,180], d[W])
Margin(data: [#.#.####.#], img[2203], T[0,270], d[N])
Margin(data: [##.##..##.], img[2203], T[0,270], d[E])
Margin(data: [.###...##.], img[2203], T[0,270], d[S])
Margin(data: [#..#.####.], img[2203], T[0,270], d[W])
Margin(data: [#..#.####.], img[2203], T[1,0], d[N])
Margin(data: [.###...##.], img[2203], T[1,0], d[E])
Margin(data: [##.##..##.], img[2203], T[1,0], d[S])
Margin(data: [#.#.####.#], img[2203], T[1,0], d[W])
Margin(data: [#.####.#.#], img[2203], T[1,90], d[N])
Margin(data: [#..#.####.], img[2203], T[1,90], d[E])
Margin(data: [.##...###.], img[2203], T[1,90], d[S])
Margin(data: [##.##..##.], img[2203], T[1,90], d[W])
Margin(data: [.##..##.##], img[2203], T[1,180], d[N])
Margin(data: [#.####.#.#], img[2203], T[1,180], d[E])
Margin(data: [.####.#..#], img[2203], T[1,180], d[S])
Margin(data: [.##...###.], img[2203], T[1,180], d[W])
Margin(data: [.###...##.], img[2203], T[1,270], d[N])
Margin(data: [.##..##.##], img[2203], T[1,270], d[E])
Margin(data: [#.#.####.#], img[2203], T[1,270], d[S])
Margin(data: [.####.#..#], img[2203], T[1,270], d[W])
Margin(data: [#.#..#.#.#], img[3511], T[0,0], d[N])
Margin(data: [##..#..###], img[3511], T[0,0], d[E])
Margin(data: [.#.#..##.#], img[3511], T[0,0], d[S])
Margin(data: [#######.#.], img[3511], T[0,0], d[W])
Margin(data: [.#.#######], img[3511], T[0,90], d[N])
Margin(data: [#.#..#.#.#], img[3511], T[0,90], d[E])
Margin(data: [###..#..##], img[3511], T[0,90], d[S])
Margin(data: [.#.#..##.#], img[3511], T[0,90], d[W])
Margin(data: [#.##..#.#.], img[3511], T[0,180], d[N])
Margin(data: [.#.#######], img[3511], T[0,180], d[E])
Margin(data: [#.#.#..#.#], img[3511], T[0,180], d[S])
Margin(data: [###..#..##], img[3511], T[0,180], d[W])
Margin(data: [##..#..###], img[3511], T[0,270], d[N])
Margin(data: [#.##..#.#.], img[3511], T[0,270], d[E])
Margin(data: [#######.#.], img[3511], T[0,270], d[S])
Margin(data: [#.#.#..#.#], img[3511], T[0,270], d[W])
Margin(data: [#.#.#..#.#], img[3511], T[1,0], d[N])
Margin(data: [#######.#.], img[3511], T[1,0], d[E])
Margin(data: [#.##..#.#.], img[3511], T[1,0], d[S])
Margin(data: [##..#..###], img[3511], T[1,0], d[W])
Margin(data: [###..#..##], img[3511], T[1,90], d[N])
Margin(data: [#.#.#..#.#], img[3511], T[1,90], d[E])
Margin(data: [.#.#######], img[3511], T[1,90], d[S])
Margin(data: [#.##..#.#.], img[3511], T[1,90], d[W])
Margin(data: [.#.#..##.#], img[3511], T[1,180], d[N])
Margin(data: [###..#..##], img[3511], T[1,180], d[E])
Margin(data: [#.#..#.#.#], img[3511], T[1,180], d[S])
Margin(data: [.#.#######], img[3511], T[1,180], d[W])
Margin(data: [#######.#.], img[3511], T[1,270], d[N])
Margin(data: [.#.#..##.#], img[3511], T[1,270], d[E])
Margin(data: [##..#..###], img[3511], T[1,270], d[S])
Margin(data: [#.#..#.#.#], img[3511], T[1,270], d[W])
Margin(data: [..#..#.###], img[3499], T[0,0], d[N])
Margin(data: [#..#.#..##], img[3499], T[0,0], d[E])
Margin(data: [#.#....###], img[3499], T[0,0], d[S])
Margin(data: [.#...#..##], img[3499], T[0,0], d[W])
Margin(data: [##..#...#.], img[3499], T[0,90], d[N])
Margin(data: [..#..#.###], img[3499], T[0,90], d[E])
Margin(data: [##..#.#..#], img[3499], T[0,90], d[S])
Margin(data: [#.#....###], img[3499], T[0,90], d[W])
Margin(data: [###....#.#], img[3499], T[0,180], d[N])
Margin(data: [##..#...#.], img[3499], T[0,180], d[E])
Margin(data: [###.#..#..], img[3499], T[0,180], d[S])
Margin(data: [##..#.#..#], img[3499], T[0,180], d[W])
Margin(data: [#..#.#..##], img[3499], T[0,270], d[N])
Margin(data: [###....#.#], img[3499], T[0,270], d[E])
Margin(data: [.#...#..##], img[3499], T[0,270], d[S])
Margin(data: [###.#..#..], img[3499], T[0,270], d[W])
Margin(data: [###.#..#..], img[3499], T[1,0], d[N])
Margin(data: [.#...#..##], img[3499], T[1,0], d[E])
Margin(data: [###....#.#], img[3499], T[1,0], d[S])
Margin(data: [#..#.#..##], img[3499], T[1,0], d[W])
Margin(data: [##..#.#..#], img[3499], T[1,90], d[N])
Margin(data: [###.#..#..], img[3499], T[1,90], d[E])
Margin(data: [##..#...#.], img[3499], T[1,90], d[S])
Margin(data: [###....#.#], img[3499], T[1,90], d[W])
Margin(data: [#.#....###], img[3499], T[1,180], d[N])
Margin(data: [##..#.#..#], img[3499], T[1,180], d[E])
Margin(data: [..#..#.###], img[3499], T[1,180], d[S])
Margin(data: [##..#...#.], img[3499], T[1,180], d[W])
Margin(data: [.#...#..##], img[3499], T[1,270], d[N])
Margin(data: [#.#....###], img[3499], T[1,270], d[E])
Margin(data: [#..#.#..##], img[3499], T[1,270], d[S])
Margin(data: [..#..#.###], img[3499], T[1,270], d[W])
Margin(data: [#.#....##.], img[1039], T[0,0], d[N])
Margin(data: [.#.####..#], img[1039], T[0,0], d[E])
Margin(data: [#..#..##.#], img[1039], T[0,0], d[S])
Margin(data: [####.#.###], img[1039], T[0,0], d[W])
Margin(data: [###.#.####], img[1039], T[0,90], d[N])
Margin(data: [#.#....##.], img[1039], T[0,90], d[E])
Margin(data: [#..####.#.], img[1039], T[0,90], d[S])
Margin(data: [#..#..##.#], img[1039], T[0,90], d[W])
Margin(data: [#.##..#..#], img[1039], T[0,180], d[N])
Margin(data: [###.#.####], img[1039], T[0,180], d[E])
Margin(data: [.##....#.#], img[1039], T[0,180], d[S])
Margin(data: [#..####.#.], img[1039], T[0,180], d[W])
Margin(data: [.#.####..#], img[1039], T[0,270], d[N])
Margin(data: [#.##..#..#], img[1039], T[0,270], d[E])
Margin(data: [####.#.###], img[1039], T[0,270], d[S])
Margin(data: [.##....#.#], img[1039], T[0,270], d[W])
Margin(data: [.##....#.#], img[1039], T[1,0], d[N])
Margin(data: [####.#.###], img[1039], T[1,0], d[E])
Margin(data: [#.##..#..#], img[1039], T[1,0], d[S])
Margin(data: [.#.####..#], img[1039], T[1,0], d[W])
Margin(data: [#..####.#.], img[1039], T[1,90], d[N])
Margin(data: [.##....#.#], img[1039], T[1,90], d[E])
Margin(data: [###.#.####], img[1039], T[1,90], d[S])
Margin(data: [#.##..#..#], img[1039], T[1,90], d[W])
Margin(data: [#..#..##.#], img[1039], T[1,180], d[N])
Margin(data: [#..####.#.], img[1039], T[1,180], d[E])
Margin(data: [#.#....##.], img[1039], T[1,180], d[S])
Margin(data: [###.#.####], img[1039], T[1,180], d[W])
Margin(data: [####.#.###], img[1039], T[1,270], d[N])
Margin(data: [#..#..##.#], img[1039], T[1,270], d[E])
Margin(data: [.#.####..#], img[1039], T[1,270], d[S])
Margin(data: [#.#....##.], img[1039], T[1,270], d[W])
Margin(data: [#..#.#.##.], img[3323], T[0,0], d[N])
Margin(data: [..####.###], img[3323], T[0,0], d[E])
Margin(data: [#...###.##], img[3323], T[0,0], d[S])
Margin(data: [##...###.#], img[3323], T[0,0], d[W])
Margin(data: [#.###...##], img[3323], T[0,90], d[N])
Margin(data: [#..#.#.##.], img[3323], T[0,90], d[E])
Margin(data: [###.####..], img[3323], T[0,90], d[S])
Margin(data: [#...###.##], img[3323], T[0,90], d[W])
Margin(data: [##.###...#], img[3323], T[0,180], d[N])
Margin(data: [#.###...##], img[3323], T[0,180], d[E])
Margin(data: [.##.#.#..#], img[3323], T[0,180], d[S])
Margin(data: [###.####..], img[3323], T[0,180], d[W])
Margin(data: [..####.###], img[3323], T[0,270], d[N])
Margin(data: [##.###...#], img[3323], T[0,270], d[E])
Margin(data: [##...###.#], img[3323], T[0,270], d[S])
Margin(data: [.##.#.#..#], img[3323], T[0,270], d[W])
Margin(data: [.##.#.#..#], img[3323], T[1,0], d[N])
Margin(data: [##...###.#], img[3323], T[1,0], d[E])
Margin(data: [##.###...#], img[3323], T[1,0], d[S])
Margin(data: [..####.###], img[3323], T[1,0], d[W])
Margin(data: [###.####..], img[3323], T[1,90], d[N])
Margin(data: [.##.#.#..#], img[3323], T[1,90], d[E])
Margin(data: [#.###...##], img[3323], T[1,90], d[S])
Margin(data: [##.###...#], img[3323], T[1,90], d[W])
Margin(data: [#...###.##], img[3323], T[1,180], d[N])
Margin(data: [###.####..], img[3323], T[1,180], d[E])
Margin(data: [#..#.#.##.], img[3323], T[1,180], d[S])
Margin(data: [#.###...##], img[3323], T[1,180], d[W])
Margin(data: [##...###.#], img[3323], T[1,270], d[N])
Margin(data: [#...###.##], img[3323], T[1,270], d[E])
Margin(data: [..####.###], img[3323], T[1,270], d[S])
Margin(data: [#..#.#.##.], img[3323], T[1,270], d[W])
Margin(data: [###...##.#], img[1033], T[0,0], d[N])
Margin(data: [###...#...], img[1033], T[0,0], d[E])
Margin(data: [.##.#.....], img[1033], T[0,0], d[S])
Margin(data: [##..###.#.], img[1033], T[0,0], d[W])
Margin(data: [.#.###..##], img[1033], T[0,90], d[N])
Margin(data: [###...##.#], img[1033], T[0,90], d[E])
Margin(data: [...#...###], img[1033], T[0,90], d[S])
Margin(data: [.##.#.....], img[1033], T[0,90], d[W])
Margin(data: [.....#.##.], img[1033], T[0,180], d[N])
Margin(data: [.#.###..##], img[1033], T[0,180], d[E])
Margin(data: [#.##...###], img[1033], T[0,180], d[S])
Margin(data: [...#...###], img[1033], T[0,180], d[W])
Margin(data: [###...#...], img[1033], T[0,270], d[N])
Margin(data: [.....#.##.], img[1033], T[0,270], d[E])
Margin(data: [##..###.#.], img[1033], T[0,270], d[S])
Margin(data: [#.##...###], img[1033], T[0,270], d[W])
Margin(data: [#.##...###], img[1033], T[1,0], d[N])
Margin(data: [##..###.#.], img[1033], T[1,0], d[E])
Margin(data: [.....#.##.], img[1033], T[1,0], d[S])
Margin(data: [###...#...], img[1033], T[1,0], d[W])
Margin(data: [...#...###], img[1033], T[1,90], d[N])
Margin(data: [#.##...###], img[1033], T[1,90], d[E])
Margin(data: [.#.###..##], img[1033], T[1,90], d[S])
Margin(data: [.....#.##.], img[1033], T[1,90], d[W])
Margin(data: [.##.#.....], img[1033], T[1,180], d[N])
Margin(data: [...#...###], img[1033], T[1,180], d[E])
Margin(data: [###...##.#], img[1033], T[1,180], d[S])
Margin(data: [.#.###..##], img[1033], T[1,180], d[W])
Margin(data: [##..###.#.], img[1033], T[1,270], d[N])
Margin(data: [.##.#.....], img[1033], T[1,270], d[E])
Margin(data: [###...#...], img[1033], T[1,270], d[S])
Margin(data: [###...##.#], img[1033], T[1,270], d[W])
Margin(data: [....#.##..], img[2269], T[0,0], d[N])
Margin(data: [.###.###.#], img[2269], T[0,0], d[E])
Margin(data: [.#...#.#.#], img[2269], T[0,0], d[S])
Margin(data: [.#.###..#.], img[2269], T[0,0], d[W])
Margin(data: [.#..###.#.], img[2269], T[0,90], d[N])
Margin(data: [....#.##..], img[2269], T[0,90], d[E])
Margin(data: [#.###.###.], img[2269], T[0,90], d[S])
Margin(data: [.#...#.#.#], img[2269], T[0,90], d[W])
Margin(data: [#.#.#...#.], img[2269], T[0,180], d[N])
Margin(data: [.#..###.#.], img[2269], T[0,180], d[E])
Margin(data: [..##.#....], img[2269], T[0,180], d[S])
Margin(data: [#.###.###.], img[2269], T[0,180], d[W])
Margin(data: [.###.###.#], img[2269], T[0,270], d[N])
Margin(data: [#.#.#...#.], img[2269], T[0,270], d[E])
Margin(data: [.#.###..#.], img[2269], T[0,270], d[S])
Margin(data: [..##.#....], img[2269], T[0,270], d[W])
Margin(data: [..##.#....], img[2269], T[1,0], d[N])
Margin(data: [.#.###..#.], img[2269], T[1,0], d[E])
Margin(data: [#.#.#...#.], img[2269], T[1,0], d[S])
Margin(data: [.###.###.#], img[2269], T[1,0], d[W])
Margin(data: [#.###.###.], img[2269], T[1,90], d[N])
Margin(data: [..##.#....], img[2269], T[1,90], d[E])
Margin(data: [.#..###.#.], img[2269], T[1,90], d[S])
Margin(data: [#.#.#...#.], img[2269], T[1,90], d[W])
Margin(data: [.#...#.#.#], img[2269], T[1,180], d[N])
Margin(data: [#.###.###.], img[2269], T[1,180], d[E])
Margin(data: [....#.##..], img[2269], T[1,180], d[S])
Margin(data: [.#..###.#.], img[2269], T[1,180], d[W])
Margin(data: [.#.###..#.], img[2269], T[1,270], d[N])
Margin(data: [.#...#.#.#], img[2269], T[1,270], d[E])
Margin(data: [.###.###.#], img[2269], T[1,270], d[S])
Margin(data: [....#.##..], img[2269], T[1,270], d[W])
Margin(data: [...##.###.], img[1279], T[0,0], d[N])
Margin(data: [....###..#], img[1279], T[0,0], d[E])
Margin(data: [.#.#...#.#], img[1279], T[0,0], d[S])
Margin(data: [..##...##.], img[1279], T[0,0], d[W])
Margin(data: [.##...##..], img[1279], T[0,90], d[N])
Margin(data: [...##.###.], img[1279], T[0,90], d[E])
Margin(data: [#..###....], img[1279], T[0,90], d[S])
Margin(data: [.#.#...#.#], img[1279], T[0,90], d[W])
Margin(data: [#.#...#.#.], img[1279], T[0,180], d[N])
Margin(data: [.##...##..], img[1279], T[0,180], d[E])
Margin(data: [.###.##...], img[1279], T[0,180], d[S])
Margin(data: [#..###....], img[1279], T[0,180], d[W])
Margin(data: [....###..#], img[1279], T[0,270], d[N])
Margin(data: [#.#...#.#.], img[1279], T[0,270], d[E])
Margin(data: [..##...##.], img[1279], T[0,270], d[S])
Margin(data: [.###.##...], img[1279], T[0,270], d[W])
Margin(data: [.###.##...], img[1279], T[1,0], d[N])
Margin(data: [..##...##.], img[1279], T[1,0], d[E])
Margin(data: [#.#...#.#.], img[1279], T[1,0], d[S])
Margin(data: [....###..#], img[1279], T[1,0], d[W])
Margin(data: [#..###....], img[1279], T[1,90], d[N])
Margin(data: [.###.##...], img[1279], T[1,90], d[E])
Margin(data: [.##...##..], img[1279], T[1,90], d[S])
Margin(data: [#.#...#.#.], img[1279], T[1,90], d[W])
Margin(data: [.#.#...#.#], img[1279], T[1,180], d[N])
Margin(data: [#..###....], img[1279], T[1,180], d[E])
Margin(data: [...##.###.], img[1279], T[1,180], d[S])
Margin(data: [.##...##..], img[1279], T[1,180], d[W])
Margin(data: [..##...##.], img[1279], T[1,270], d[N])
Margin(data: [.#.#...#.#], img[1279], T[1,270], d[E])
Margin(data: [....###..#], img[1279], T[1,270], d[S])
Margin(data: [...##.###.], img[1279], T[1,270], d[W])
Margin(data: [..#..###..], img[2549], T[0,0], d[N])
Margin(data: [..####...#], img[2549], T[0,0], d[E])
Margin(data: [##.##.####], img[2549], T[0,0], d[S])
Margin(data: [.....#...#], img[2549], T[0,0], d[W])
Margin(data: [#...#.....], img[2549], T[0,90], d[N])
Margin(data: [..#..###..], img[2549], T[0,90], d[E])
Margin(data: [#...####..], img[2549], T[0,90], d[S])
Margin(data: [##.##.####], img[2549], T[0,90], d[W])
Margin(data: [####.##.##], img[2549], T[0,180], d[N])
Margin(data: [#...#.....], img[2549], T[0,180], d[E])
Margin(data: [..###..#..], img[2549], T[0,180], d[S])
Margin(data: [#...####..], img[2549], T[0,180], d[W])
Margin(data: [..####...#], img[2549], T[0,270], d[N])
Margin(data: [####.##.##], img[2549], T[0,270], d[E])
Margin(data: [.....#...#], img[2549], T[0,270], d[S])
Margin(data: [..###..#..], img[2549], T[0,270], d[W])
Margin(data: [..###..#..], img[2549], T[1,0], d[N])
Margin(data: [.....#...#], img[2549], T[1,0], d[E])
Margin(data: [####.##.##], img[2549], T[1,0], d[S])
Margin(data: [..####...#], img[2549], T[1,0], d[W])
Margin(data: [#...####..], img[2549], T[1,90], d[N])
Margin(data: [..###..#..], img[2549], T[1,90], d[E])
Margin(data: [#...#.....], img[2549], T[1,90], d[S])
Margin(data: [####.##.##], img[2549], T[1,90], d[W])
Margin(data: [##.##.####], img[2549], T[1,180], d[N])
Margin(data: [#...####..], img[2549], T[1,180], d[E])
Margin(data: [..#..###..], img[2549], T[1,180], d[S])
Margin(data: [#...#.....], img[2549], T[1,180], d[W])
Margin(data: [.....#...#], img[2549], T[1,270], d[N])
Margin(data: [##.##.####], img[2549], T[1,270], d[E])
Margin(data: [..####...#], img[2549], T[1,270], d[S])
Margin(data: [..#..###..], img[2549], T[1,270], d[W])
Margin(data: [..#.######], img[2377], T[0,0], d[N])
Margin(data: [##....#.#.], img[2377], T[0,0], d[E])
Margin(data: [#.#.#..##.], img[2377], T[0,0], d[S])
Margin(data: [...##.##.#], img[2377], T[0,0], d[W])
Margin(data: [#.##.##...], img[2377], T[0,90], d[N])
Margin(data: [..#.######], img[2377], T[0,90], d[E])
Margin(data: [.#.#....##], img[2377], T[0,90], d[S])
Margin(data: [#.#.#..##.], img[2377], T[0,90], d[W])
Margin(data: [.##..#.#.#], img[2377], T[0,180], d[N])
Margin(data: [#.##.##...], img[2377], T[0,180], d[E])
Margin(data: [######.#..], img[2377], T[0,180], d[S])
Margin(data: [.#.#....##], img[2377], T[0,180], d[W])
Margin(data: [##....#.#.], img[2377], T[0,270], d[N])
Margin(data: [.##..#.#.#], img[2377], T[0,270], d[E])
Margin(data: [...##.##.#], img[2377], T[0,270], d[S])
Margin(data: [######.#..], img[2377], T[0,270], d[W])
Margin(data: [######.#..], img[2377], T[1,0], d[N])
Margin(data: [...##.##.#], img[2377], T[1,0], d[E])
Margin(data: [.##..#.#.#], img[2377], T[1,0], d[S])
Margin(data: [##....#.#.], img[2377], T[1,0], d[W])
Margin(data: [.#.#....##], img[2377], T[1,90], d[N])
Margin(data: [######.#..], img[2377], T[1,90], d[E])
Margin(data: [#.##.##...], img[2377], T[1,90], d[S])
Margin(data: [.##..#.#.#], img[2377], T[1,90], d[W])
Margin(data: [#.#.#..##.], img[2377], T[1,180], d[N])
Margin(data: [.#.#....##], img[2377], T[1,180], d[E])
Margin(data: [..#.######], img[2377], T[1,180], d[S])
Margin(data: [#.##.##...], img[2377], T[1,180], d[W])
Margin(data: [...##.##.#], img[2377], T[1,270], d[N])
Margin(data: [#.#.#..##.], img[2377], T[1,270], d[E])
Margin(data: [##....#.#.], img[2377], T[1,270], d[S])
Margin(data: [..#.######], img[2377], T[1,270], d[W])
Margin(data: [.######.##], img[3169], T[0,0], d[N])
Margin(data: [#####.#.#.], img[3169], T[0,0], d[E])
Margin(data: [#.#....#..], img[3169], T[0,0], d[S])
Margin(data: [.###..#.##], img[3169], T[0,0], d[W])
Margin(data: [##.#..###.], img[3169], T[0,90], d[N])
Margin(data: [.######.##], img[3169], T[0,90], d[E])
Margin(data: [.#.#.#####], img[3169], T[0,90], d[S])
Margin(data: [#.#....#..], img[3169], T[0,90], d[W])
Margin(data: [..#....#.#], img[3169], T[0,180], d[N])
Margin(data: [##.#..###.], img[3169], T[0,180], d[E])
Margin(data: [##.######.], img[3169], T[0,180], d[S])
Margin(data: [.#.#.#####], img[3169], T[0,180], d[W])
Margin(data: [#####.#.#.], img[3169], T[0,270], d[N])
Margin(data: [..#....#.#], img[3169], T[0,270], d[E])
Margin(data: [.###..#.##], img[3169], T[0,270], d[S])
Margin(data: [##.######.], img[3169], T[0,270], d[W])
Margin(data: [##.######.], img[3169], T[1,0], d[N])
Margin(data: [.###..#.##], img[3169], T[1,0], d[E])
Margin(data: [..#....#.#], img[3169], T[1,0], d[S])
Margin(data: [#####.#.#.], img[3169], T[1,0], d[W])
Margin(data: [.#.#.#####], img[3169], T[1,90], d[N])
Margin(data: [##.######.], img[3169], T[1,90], d[E])
Margin(data: [##.#..###.], img[3169], T[1,90], d[S])
Margin(data: [..#....#.#], img[3169], T[1,90], d[W])
Margin(data: [#.#....#..], img[3169], T[1,180], d[N])
Margin(data: [.#.#.#####], img[3169], T[1,180], d[E])
Margin(data: [.######.##], img[3169], T[1,180], d[S])
Margin(data: [##.#..###.], img[3169], T[1,180], d[W])
Margin(data: [.###..#.##], img[3169], T[1,270], d[N])
Margin(data: [#.#....#..], img[3169], T[1,270], d[E])
Margin(data: [#####.#.#.], img[3169], T[1,270], d[S])
Margin(data: [.######.##], img[3169], T[1,270], d[W])
Margin(data: [###.#.##..], img[1979], T[0,0], d[N])
Margin(data: [.....#.###], img[1979], T[0,0], d[E])
Margin(data: [#.####.#.#], img[1979], T[0,0], d[S])
Margin(data: [###.##..##], img[1979], T[0,0], d[W])
Margin(data: [##..##.###], img[1979], T[0,90], d[N])
Margin(data: [###.#.##..], img[1979], T[0,90], d[E])
Margin(data: [###.#.....], img[1979], T[0,90], d[S])
Margin(data: [#.####.#.#], img[1979], T[0,90], d[W])
Margin(data: [#.#.####.#], img[1979], T[0,180], d[N])
Margin(data: [##..##.###], img[1979], T[0,180], d[E])
